السنة,القطاع_العام,sector_avg_percentile
2019,أنشطة الخدمات الأخرى,62.29
2019,أنشطة الخدمات الإدارية وخدمات الدعم,74.24
2019,أنشطة خدمات الإقامة والطعام,74.77
2019,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,38.98
2019,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات,62.85
2019,الأنشطة العقارية,43.15
2019,الأنشطة المالية وأنشطة التأمين,51.12
2019,الأنشطة المهنية والعلمية والتقنية,74.71
2019,التشييد,15.37
2019,التعدين واستغلال المحاجر,57.67
2019,التعليم,23.03
2019,الصحة والعمل الاجتماعي,14.94
2019,الصناعات التحويلية,53.29
2019,الفنون والترفية والتسلية,29.72
2019,المعلومات والاتصالات,68.59
2019,النقل والتخزين,47.0
2019,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدراجات النارية,58.96
2020,أنشطة الخدمات الأخرى,53.61
2020,أنشطة الخدمات الإدارية وخدمات الدعم,60.81
2020,أنشطة خدمات الإقامة والطعام,14.02
2020,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,64.06
2020,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات,42.04
2020,الأنشطة العقارية,52.22
2020,الأنشطة المالية وأنشطة التأمين,53.22
2020,الأنشطة المهنية والعلمية والتقنية,53.88
2020,التشييد,60.41
2020,التعدين واستغلال المحاجر,65.25
2020,التعليم,51.33
2020,الصحة والعمل الاجتماعي,58.25
2020,الصناعات التحويلية,54.9
2020,الفنون والترفية والتسلية,41.98
2020,المعلومات والاتصالات,61.02
2020,النقل والتخزين,32.89
2020,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدراجات النارية,36.07
2021,أنشطة الخدمات الأخرى,42.78
2021,أنشطة الخدمات الإدارية وخدمات الدعم,35.41
2021,أنشطة خدمات الإقامة والطعام,82.8
2021,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,58.32
2021,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات,49.7
2021,الأنشطة العقارية,43.52
2021,الأنشطة المالية وأنشطة التأمين,57.29
2021,الأنشطة المهنية والعلمية والتقنية,34.27
2021,التشييد,21.8
2021,التعدين واستغلال المحاجر,58.83
2021,التعليم,33.0
2021,الصحة والعمل الاجتماعي,23.08
2021,الصناعات التحويلية,56.68
2021,الفنون والترفية والتسلية,80.29
2021,المعلومات والاتصالات,74.25
2021,النقل والتخزين,40.74
2021,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدراجات النارية,68.84
2022,أنشطة الخدمات الأخرى,64.81
2022,أنشطة الخدمات الإدارية وخدمات الدعم,48.58
2022,أنشطة خدمات الإقامة والطعام,78.81
2022,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,54.6
2022,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات,58.4
2022,الأنشطة العقارية,64.9
2022,الأنشطة المالية وأنشطة التأمين,23.74
2022,الأنشطة المهنية والعلمية والتقنية,54.86
2022,التشييد,11.96
2022,التعدين واستغلال المحاجر,44.63
2022,التعليم,11.58
2022,الصحة والعمل الاجتماعي,13.41
2022,الصناعات التحويلية,59.61
2022,الفنون والترفية والتسلية,68.04
2022,المعلومات والاتصالات,89.53
2022,النقل والتخزين,44.79
2022,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدراجات النارية,64.67
2023,الأنشطة العقارية,58.07
2023,التشييد,59.85
2023,التعدين واستغلال المحاجر,43.81
2023,التعليم,52.43
2023,الصحة والعمل الاجتماعي,37.45
2023,المعلومات والاتصالات,24.76
2023,النقل والتخزين,71.81
2024,أنشطة الخدمات الأخرى,51.52
2024,أنشطة الخدمات الإدارية وخدمات الدعم,41.55
2024,أنشطة خدمات الإقامة والطعام,73.31
2024,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,34.29
2024,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات,45.67
2024,الأنشطة العقارية,46.97
2024,الأنشطة المالية وأنشطة التأمين,7.25
2024,الأنشطة المهنية والعلمية والتقنية,38.63
2024,التشييد,58.58
2024,التعدين واستغلال المحاجر,47.44
2024,التعليم,57.12
2024,الصحة والعمل الاجتماعي,45.29
2024,الصناعات التحويلية,51.13
2024,الفنون والترفية والتسلية,52.13
2024,المعلومات والاتصالات,42.49
2024,النقل والتخزين,77.15
2024,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدراجات النارية,61.97
2025,أنشطة الخدمات الأخرى,40.4
2025,أنشطة الخدمات الإدارية وخدمات الدعم,31.38
2025,أنشطة خدمات الإقامة والطعام,71.94
2025,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,34.33
2025,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات,40.54
2025,الأنشطة العقارية,45.77
2025,الأنشطة المالية وأنشطة التأمين,7.14
2025,الأنشطة المهنية والعلمية والتقنية,39.02
2025,التشييد,78.49
2025,التعدين واستغلال المحاجر,58.5
2025,التعليم,66.73
2025,الصحة والعمل الاجتماعي,52.47
2025,الصناعات التحويلية,47.69
2025,الفنون والترفية والتسلية,47.43
2025,المعلومات والاتصالات,48.28
2025,النقل والتخزين,65.14
2025,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدراجات النارية,57.86
