السنة,القطاع_العام,الحجم,المنطقة,إجمالي_عدد_المنشآت,share,الإيرادات_موزع,النفقات_موزع,التعويضات_موزع,الفائض_موزع
2019,أنشطة الخدمات الأخرى,صغيرة,المنطقة الشرقية,5436.0,0.1999117387466902,1574877.09,770410.26,239221.58,565245.24
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة الباحة,180.0,0.0066195939982347,52148.25,25510.27,7921.24,18716.73
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة الجوف,383.0,0.0140850250073551,110959.88,54280.19,16854.65,39825.04
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة الحدود الشمالية,253.0,0.0093042071197411,73297.26,35856.11,11133.75,26307.4
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة الرياض,8757.0,0.3220432480141218,2537012.27,1241074.81,385368.54,910568.91
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة القصيم,1289.0,0.0474036481318034,373439.4,182681.9,56724.91,134032.58
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة المدينة المنورة,1366.0,0.0502353633421594,395747.26,193594.63,60113.44,142039.18
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة تبوك,598.0,0.0219917622830244,173248.07,84750.8,26316.13,62181.14
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة جازان,885.0,0.0325463371579876,256395.55,125425.51,38946.12,92023.92
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة حائل,732.0,0.026919682259488,212069.54,103741.78,32213.06,76114.7
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة عسير,1203.0,0.0442409532215357,348524.12,170493.66,52940.32,125090.14
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة مكة المكرمة,5721.0,0.2103927625772286,1657445.15,810801.53,251763.55,594880.07
2019,أنشطة الخدمات الأخرى,صغيرة,منطقة نجران,389.0,0.0143056781406295,112698.16,55130.54,17118.69,40448.93
2019,أنشطة الخدمات الأخرى,متناهية الصغر,المنطقة الشرقية,17494.0,0.14263350998777,2238326.28,971632.45,321911.99,944781.83
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة الباحة,1204.0,0.0098165511618426,154049.66,66871.24,22155.14,65023.28
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة الجوف,2326.0,0.0189645332246229,297607.58,129188.13,42801.38,125618.07
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة الحدود الشمالية,1313.0,0.0107052588666938,167996.02,72925.2,24160.88,70909.94
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة الرياض,40804.0,0.3326865063187933,5220799.44,2266290.76,750845.83,2203662.85
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة القصيم,6158.0,0.050207908683245,787905.18,342020.84,113315.08,332569.25
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة المدينة المنورة,7995.0,0.0651854871585813,1022946.07,444049.47,147118.23,431778.37
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة تبوك,4243.0,0.0345943742356298,542884.33,235660.03,78076.63,229147.67
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة جازان,4602.0,0.0375214023644516,588817.74,255599.21,84682.69,248535.84
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة حائل,5510.0,0.044924582144313,704994.73,306030.34,101391.05,297573.33
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة عسير,5626.0,0.0458703628210354,719836.72,312473.09,103525.6,303838.04
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة مكة المكرمة,23112.0,0.1884386465552384,2957139.41,1283661.21,425290.38,1248187.82
2019,أنشطة الخدمات الأخرى,متناهية الصغر,منطقة نجران,2263.0,0.0184508764777823,289546.84,125689.05,41642.1,122215.69
2019,أنشطة الخدمات الأخرى,متوسطة,المنطقة الشرقية,323.0,0.1489165514061779,547588.5,277160.95,97721.42,172706.12
2019,أنشطة الخدمات الأخرى,متوسطة,منطقة الباحة,20.0,0.0092208390963577,33906.41,17161.67,6050.86,10693.88
2019,أنشطة الخدمات الأخرى,متوسطة,منطقة الجوف,59.0,0.0272014753342554,100023.91,50626.92,17850.04,31546.94
2019,أنشطة الخدمات الأخرى,متوسطة,منطقة الحدود الشمالية,14.0,0.0064545873674504,23734.49,12013.17,4235.6,7485.71
